Date,Open,High,Low,Close,Adj Close,Volume,symbol,return,SMA_5,SMA_15,SMA_ratio,SMA5_Volume,SMA15_Volume,SMA_Volume_Ratio,prev_close,TR,prev_high,prev_low,Lowest_5D,High_5D,Lowest_15D,High_15D,Stochastic_5,Stochastic_15,Stochastic_%D_5,Stochastic_%D_15,Stochastic_Ratio,Diff,Up,Down,avg_5up,avg_5down,avg_15up,avg_15down,RS_5,RS_15,RSI_5,RSI_15,RSI_ratio,5Ewm,15Ewm,MACD,15MA,SD,upperband,lowerband,RC,Target,sentiment_score
6/26/23,186.8300018,188.0500031,185.2299957,185.2700043,184.7767181,48088700,AAPL,-0.00755297,185.5839996,183.2026672,0.987168439,50345620,62192593.33,0.809511508,186.6799927,2.820007324,187.5599976,185.0099945,182.5899963,188.0500031,177.3200073,188.0500031,49.08433405,74.09133377,65.89037181,62.23132646,1.058797483,-1.409988403,0,1.409988403,0.625997925,0.555996704,0.786664836,0.498664347,1.125902222,1.577543772,52.961148,61.20337467,0.86533052,185.5406494,183.2178281,-2.322821267,183.2026672,2.883068626,188.9688045,177.43653,0.023874039,4.346657624,0.383439394
6/27/23,185.8899994,188.3899994,185.6699982,188.0599976,187.5592804,50730800,AAPL,0.015059066,186.1940002,183.7680003,0.986970579,50531960,57444880,0.879659945,185.2700043,3.119995117,188.0500031,185.2299957,182.5899963,188.3899994,177.3200073,188.3899994,94.31031625,97.01895151,72.72028416,66.12409199,1.099754748,2.789993286,2.789993286,0,1.165997314,0.555996704,0.972664388,0.40733134,2.097129904,2.387894801,67.71204208,70.48314488,0.960684178,186.3804321,183.8230993,-2.557332808,183.7680003,2.952542697,189.6730857,177.8629149,0.04722127,2.410479548,0.383439394
6/28/23,187.9299927,189.8999939,187.6000061,189.25,188.7461243,51216800,AAPL,0.006327781,187.2519989,184.4373332,0.984968568,50872180,56536106.67,0.899817533,188.0599976,2.299987793,188.3899994,185.6699982,183.6699982,189.8999939,177.3200073,189.8999939,89.56670398,94.83311137,82.826776,70.10089425,1.181536653,1.190002441,1.190002441,0,1.403997803,0.345999146,1.051997884,0.382664998,4.057807139,2.749135376,80.22858578,73.32718348,1.094117924,187.3369547,184.5014619,-2.835492849,184.4373332,2.983311141,190.4039555,178.4707109,0.05602362,1.189972487,0.383439394
6/29/23,189.0800018,190.0700073,188.9400024,189.5899963,189.0852051,46347300,AAPL,0.001796546,187.7699982,185.2219991,0.986430212,49892580,55496286.67,0.899025556,189.25,1.130004883,189.8999939,187.6000061,185.0099945,190.0700073,177.4600067,190.0700073,90.5136409,96.19341028,81.15373277,75.39530807,1.076376433,0.339996338,0.339996338,0,0.863998413,0.345999146,1.074664307,0.289998372,2.497111407,3.705759787,71.4049716,78.74944652,0.906736171,188.0879686,185.1375287,-2.950439908,185.2219991,2.647471327,190.5169418,179.9270565,0.066190465,0.093927188,0.383439394
6/30/23,191.6300049,194.4799957,191.2599945,193.9700012,193.4535522,85069600,AAPL,0.023102511,189.2279999,186.115332,0.983550702,56290640,57819933.33,0.973550759,189.5899963,4.88999939,190.0700073,188.9400024,185.2299957,194.4799957,180.6300049,194.4799957,94.48654587,96.31772676,83.59230821,78.85473929,1.060079698,4.380004883,4.380004883,0,1.73999939,0.281997681,1.183331299,0.289998372,6.170261349,4.080475656,86.05350696,80.31680363,1.071425942,190.0486461,186.2415878,-3.80705838,186.115332,3.174038884,192.4634098,179.7672543,0.074209411,-1.599755456,0.383439394
7/3/23,193.7799988,193.8800049,191.7599945,192.4600067,191.9475861,31458200,AAPL,-0.007784681,190.6660004,186.8819987,0.980153768,52964540,56659100,0.934793175,193.9700012,2.210006714,194.4799957,191.2599945,185.6699982,194.4799957,180.9700012,194.4799957,77.071628,85.04818775,89.189767,80.8124159,1.103664159,-1.509994507,0,1.509994507,1.73999939,0.301998901,1.15733134,0.390664673,5.761608343,2.962467354,85.21061929,74.76319902,1.139740145,190.852433,187.0188901,-3.833542868,186.8819987,3.22826989,193.3385385,180.4254589,0.063549953,-1.545130553,0.383439394
7/5/23,191.5700073,192.9799957,190.6199951,191.3300018,190.8205872,46920300,AAPL,-0.005871375,191.3200012,187.3846659,0.979430612,52202440,56168793.33,0.929385107,192.4600067,2.36000061,193.8800049,191.7599945,187.6000061,194.4799957,182.0200043,194.4799957,54.21513594,74.71913277,81.17073094,77.86156928,1.042500577,-1.130004883,0,1.130004883,1.182000732,0.527999878,0.968665568,0.465998332,2.238638268,2.078688918,69.12282518,67.518641,1.02375913,191.0116226,187.5577791,-3.453843515,187.3846659,3.298682528,193.982031,180.7873009,0.041025131,-0.927093627,0.383439394
7/6/23,189.8399963,192.0200043,189.1999969,191.8099976,191.2993011,45094300,AAPL,0.002508732,191.8320007,187.9513326,0.979770486,50977940,55513140,0.918304027,191.3300018,2.820007324,192.9799957,190.6199951,188.9400024,194.4799957,182.0200043,194.4799957,51.8050288,78.57142857,73.6183959,75.46848139,0.975485322,0.479995728,0.479995728,0,1.03999939,0.527999878,1.000665283,0.433998617,1.969696269,2.305687726,66.32652267,69.74910872,0.950930039,191.2777476,188.0893064,-3.18844119,187.9513326,3.278743889,194.5088204,181.3938448,0.046369539,-0.856799205,0.383439394
7/7/23,191.4100037,192.6699982,190.2400055,190.6799927,190.1723022,46778000,AAPL,-0.005891272,192.05,188.399999,0.980994527,51064080,54800813.33,0.931812448,191.8099976,2.429992676,192.0200043,189.1999969,189.1999969,194.4799957,182.5899963,194.4799957,28.03022859,68.04034275,61.12171344,71.09377985,0.85973363,-1.130004883,0,1.130004883,0.972000122,0.754000854,0.957998657,0.509332275,1.289123369,1.880891323,56.31515482,65.28852053,0.862558293,191.078496,188.4131422,-2.665353766,188.399999,3.150029896,194.7000588,182.0999392,0.036586006,0.676317667,0.383439394
7/10/23,189.2599945,189.9900055,187.0399933,188.6100006,188.1078339,59922200,AAPL,-0.010855843,190.9779999,188.5733327,0.987408669,46034600,54433413.33,0.84570482,190.6799927,3.63999939,192.6699982,190.2400055,187.0399933,193.8800049,182.5899963,194.4799957,22.95328454,50.6308207,46.81506117,66.53459284,0.703619864,-2.069992065,0,2.069992065,0.095999146,1.167999268,0.820665487,0.647331746,0.082191101,1.267766476,7.594878642,55.90374887,0.135856339,190.2556642,188.4377495,-1.817914682,188.5733327,3.079876474,194.7330857,182.4135798,0.013977776,0.808838417,0.383439394
7/11/23,189.1600037,189.3000031,186.6000061,188.0800018,187.5792389,46638100,AAPL,-0.002810025,190.1019989,188.7839996,0.993066884,49070580,50793580,0.96607839,188.6100006,2.699996948,189.9900055,187.0399933,186.6000061,192.9799957,182.5899963,194.4799957,23.19746292,46.17330341,36.04022816,63.70678899,0.565720369,-0.529998779,0,0.529998779,0.095999146,0.972000122,0.820665487,0.609998576,0.098764541,1.345356398,8.988690201,57.36255688,0.156699608,189.5304434,188.393031,-1.137412359,188.7839996,2.915840495,194.6156806,182.9523186,0.017088491,2.272254842,0.383439394
7/12/23,189.6799927,191.6999969,188.4700012,189.7700043,189.26474,60750200,AAPL,0.008985551,189.7899994,189.1013336,0.996371433,51836560,51523653.33,1.006073068,188.0800018,3.619995117,189.3000031,186.6000061,186.6000061,192.6699982,182.5899963,194.4799957,52.22409082,60.38694956,35.64201913,63.17767808,0.564155256,1.690002441,1.690002441,0,0.433999634,0.745999146,0.92733256,0.609998576,0.581769612,1.520220861,36.77966803,60.32093792,0.609733026,189.610297,188.5651527,-1.045144331,189.1013336,2.728792756,194.5589191,183.6437481,0.025728393,1.695535815,0.383439394
7/13/23,190.5,191.1900024,189.7799988,190.5399933,190.0326843,41342300,AAPL,0.004057485,189.5359985,189.5399994,1.000021109,51086160,50978760,1.00210676,189.7700043,1.419998169,191.6999969,188.4700012,186.6000061,192.6699982,183.6699982,194.4799957,64.90926413,63.5522356,38.2628662,64.90267937,0.589542166,0.769989014,0.769989014,0,0.491998291,0.745999146,0.978665161,0.53999939,0.659515891,1.812344939,39.74146283,64.44248406,0.616696631,189.9201958,188.8120078,-1.108188012,189.5399994,2.345183866,194.2303671,184.8496317,0.035768571,2.560064388,0.383439394
7/14/23,190.2299957,191.1799927,189.6300049,190.6900024,190.1822968,41573900,AAPL,0.000787284,189.5380005,189.7859996,1.00130844,50045340,50334000,0.994265109,190.5399933,1.549987793,191.1900024,189.7799988,186.6000061,191.6999969,185.0099945,194.4799957,80.19615059,59.97895673,48.6960506,63.6571656,0.764973592,0.150009155,0.150009155,0,0.522000122,0.519998169,0.785999552,0.53999939,1.003849923,1.455556372,50.09606317,59.27603164,0.845131865,190.176798,189.0467571,-1.130040899,189.7859996,2.251374057,194.2887477,185.2832514,0.019732633,0.640964578,0.383439394
